이름,주의사항,성분
프리미엄 오메가3 1000,"① 알레르기 체질이신 경우 성분을 확인한 후 섭취여부를 결정하여야 함
[EPA 및 DHA 함유 유지]
② 의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담할 것
③ 개인에 따라 피부 관련 이상반응이 발생할 수 있음
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","EPA및DHA함유유지(고시형), 비타민 A 혼합제제, 젤라틴, 글리세린, D-소비톨액, 카카오색소, 밀납, 베리혼합분말, 강황추출물분말, 레시틴, 타우린, 효소처리루틴, 케르세틴, d-α-토코페롤"
유한17종혼합유산균-2400,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
코엔자임Q10홍국,,"홍국(고시형), 코엔자임 Q10(고시형), 히드록시프로필전분, 카라기난, 글리세린, 폴리글리시톨시럽, 카카오색소, 포도씨유혼합유지, 밀납, 레시틴, L-아르지닌, 홍삼오일"
훼칼리유산균-10,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","Enterococcus faecalis(고시형), 덱스트린"
훼칼리유산균-1000,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","Enterococcus faecalis(고시형), 덱스트린"
17종혼합유산균디아이(DI)-2100,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
19종혼합유산균디아이(DI)-3300,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
이지프로바이오틱스17,"①질환이 있거나 의약품 복용 시 전문가와 상담할 것
②알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
⑤고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것","산화아연, 비타민D3혼합제제, 프로바이오틱스(고시형), 요구르트향분말, 유산균배양건조물, 이산화규소, 차전자피식이섬유(고시형), 프락토올리고당, 유당, 식물성크림혼합분말, 분말결정포도당, 요거트혼합분말, 야채혼합농축분말"
트리플스트랭스 오메가3 + 코엔자임Q10,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
제품의 품질 유지를 위해 동봉된 강력 방습제인 실리카겔(SILICA GEL)은 식용이 아니므로 절대 먹지 마십시오.
(가) 의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담할 것
(나) 개인에 따라 피부 관련 이상반응이 발생할 수 있음
(다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","EPA및DHA함유유지(고시형), 코엔자임 Q10(고시형), 젤라틴, 글리세린, 카카오색소, 밀납, 레시틴"
프롬스노우 1 유산균,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것





(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","셀레늄(고시형), 산화아연, 비타민 D 혼합제제, 프로바이오틱스(고시형), 천연딸기향, 기타가공품, 올리고당, 치커리식이섬유, 자일리톨, 제3인산칼슘, 구연산, 기타 농산가공품"
17종혼합유산균디아이(DI)-2800,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
굿모닝 실큐원(Good morning Sil-Q1),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
-간, 신장 기능 이상자는 섭취에 주의","실크단백질 산가수분해물(Sil-Q1)(기능성원료인정제2021-1호), 3종 혼합유산균, 자일리톨, 프락토올리고당, 표고버섯추출물분말, 헛개향, 비타민 C, 비타민 B6 염산염, 무수구연산, 덱스트린"
베라라이프 유기농 비타민D 1000IU,"1) 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다. 
2) 소비기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
3) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","건조효모(셀렌함유), 건조효모(비타민D), 포도당, 쌀겨추출분말, 베리혼합분말, 과일채소혼합분말, 과일채소혼합분말"
석류에스트로 133,#NAME?,"은행잎추출물(고시형), 비타민 D3 혼합제제분말, 석류추출물(기능성원료인정제2015-28호), 해조칼슘, 결정셀룰로스, 스테아린산마그네슘, 이산화규소, 히드록시프로필메틸셀룰로스, 이산화티타늄, 홍국색소, 생선콜라겐, 동결건조로얄젤리분말, 프로폴리스추출물분말, 코엔자임 Q10(고시형), 홍국분말(고시형), 바나바잎추출물, 초록입홍합분말, 비타민 K 혼합제제, 산화아연(고시형), 황산망간(고시형), 엽산(고시형), 구아바잎추출분말"
아이원 루테인지아잔틴 Q10,"섭취 시 목에 걸리거나 불편할 수 있으므로 반드시 물과 함께 섭취하십시오. 
섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오. 
개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오. 
섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오.
특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오. 
영·유아, 어린이, 임산부 및 수유부는 섭취를 피하십시오.
흡연자는 섭취 시 전문가와 상담하십시오.
과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있습니다.
이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오.","코엔자임 Q10(고시형), 루테인지아잔틴복합추출물(기능성원료인정제2018-4호), 카라기난, 글리세린, 히드록시프로필전분, 치자청색소, 카카오색소, 폴리글리시톨시럽, 레시틴, 포도씨앗유, 밀납"
이지밀크씨슬130,"어린이, 임산부 및 수유부는 섭취를 피할 것
알레르기 반응이 나타나는 경우에는 섭취 중단
설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","밀크씨슬(카르두스 마리아누스) 추출물(고시형), 비타민 B6 염산염, 분말결정포도당, 에리스리톨, 레몬과즙분말, 헛개나무열매분말, 자일리톨, 무수구연산, DL-사과산, 효소처리스테비아, 야채혼합농축분말, 대나무수액, 레몬향분말, 제삼인산칼슘, 비타민 C, 수크랄로스, 비타민 B1염산염, 비타민 B2, 판토텐산칼슘, 니코틴산아미드"
발효홍삼농축액분말 12,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼농축액(고시형), 효모추출물, 이소말토올리고당, 비타민 C, 비피더스균"
웰메이드 코엔자임Q10,"1) 유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
2) 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다. 
3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담하시기 바랍니다.","비오틴, 엽산, 비타민 B2, 비타민 B1염산염, 판토텐산칼슘, 산화아연, 비타민 B6 염산염, 니코틴산아미드(고시형), 건조효모(셀렌함유), 코엔자임 Q10(고시형), 카카오색소, 카라기난, 글리세린, 변성전분, 정제수, 베리혼합분말, 영지버섯균사체추출물분말, 레시틴, 생선콜라겐펩타이드, 밀납, 포도씨앗유, 콩기름(대두유), 과일채소혼합분말"
17종혼합유산균디아이(DI)2-2100,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
17종혼합유산균디아이(DI)4-2800,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",프로바이오틱스(고시형)
셀가 유기농 비타민D 1000IU,"① 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.
② 소비기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
③ 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하시기 바랍니다.
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담하시기 바랍니다.","건조효모(비타민D), 포도당, 쌀겨추출분말"
논스톱 쏘팔메토 115,"1) 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다. 
2) 소비기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
3) 성인남성만 섭취하시기 바랍니다.
4) 수술 전후, 출혈성 질환이 있거나 항응고제 등 복용시 전문가와 상담하시기 바랍니다.
5) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있습니다.
6) 메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있으니 식사 후 섭취하시기 바랍니다.
7) 이상사례 발생 시 섭취를 중단하고 전문가와 상담하시기 바랍니다.","쏘팔메토 열매추출물(고시형), 황산아연(고시형), 비타민 B1염산염(고시형), 비타민 B2(고시형), 젤라틴, 정제수, 글리세린, 카카오색소, 오징어먹물색소, 콩기름(대두유), 밀납, 마카추출분말, 레시틴, 오미자추출물분말, 기타가공품, 복분자추출물분말, 헛개나무열매추출분말"
유기농 엽산 비타민B12,"① 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.
② 유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
③ 이상사례 발생 시 섭취를 중단하고 전문가와 상담하시기 바랍니다.","건조효모, 건조효모, 포도당, 옥수수전분, 덱스트린, 쌀겨추출분말, 베리혼합분말, 과일채소혼합분말, 과일채소혼합분말"
홍삼농축액 12,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",홍삼
17종혼합유산균디아이(DI)-3000,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
17종혼합유산균알파-4200,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
19종혼합유산균디아이(DI)-3600,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
그린 퓨어웨이 C1000,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고 섭취 전 전문가와 상담하십시오.
이상사례 발생 시 섭취를 중단하고 전문가와 상담하시기 바랍니다.
제품의 품질유지를 위해 동봉된 강력방습제인 실리카겔은 식용이 아니므로 절대 먹지 마십시오.","비타민C혼합제제, 글리세린지방산에스테르, 이산화티타늄, 스테아린산마그네슘, 이산화규소, 히드록시프로필셀룰로스, 히드록시프로필메틸셀룰로스, 결정셀룰로스"
하루 2알 속 편한 비타민C 1000,① 알레르기 체질이신 경우 성분을 확인한 후 섭취여부를 결정하여야 함,"L-아스코브산칼슘(고시형), 결정셀룰로스, 히드록시프로필메틸셀룰로스, 해조혼합분말, 쌀단백분말, 목화씨앗유, 카복시메틸셀룰로스칼슘, 스테아린산, 가교카복시메틸셀룰로스나트륨, 글리세린지방산에스테르"
트리플코엔자임Q10,"① 알레르기 체질이신 경우 성분을 확인한 후 섭취여부를 결정하여야 함
[EPA 및 DHA 함유 유지]
② 의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담할 것
③ 개인에 따라 피부 관련 이상반응이 발생할 수 있음
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","EPA및DHA함유유지(고시형), 코엔자임 Q10(고시형), 셀레늄(고시형), 젤라틴, 글리세린, D-소비톨액, 카카오색소, 이산화티타늄, 오징어먹물색소, 칸델릴라왁스, 콩기름(대두유), 포도추출분말, 올리브유, 레시틴, 감마리놀렌산함유유지(고시형), 알로에겔농축(고시형), 사과추출물분말, 식품첨가물혼합제제, d-α-토코페롤, 과일채소혼합분말, 보검선인장농축분말, 프로바이오틱스(고시형)"
락토 프로바이오틱스 100억,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","산화아연, 프로바이오틱스(고시형), Lacticaseibacillus rhamnosus(고시형), Lactiplantibacillus plantarum(고시형), Bifidobacterium longum(고시형), 히드록시프로필메틸셀룰로스, 효소혼합분말, 기타 식용유지가공품, 기타 농산가공품, 결정셀룰로스, 난소화성말토덱스트린분말(고시형), 치커리뿌리추출물, 유산균배양건조물, 프락토올리고당, 옥수수전분"
슈퍼포뮬러 멀티비타민미네랄21,"섭취 시 목에 걸리거나 불편할 수 있으므로 반드시 물과 함께 섭취하십시오. 
섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오.
개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오.
섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오.
특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오. 
이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오.
고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하십시오.
항응고제 등 복용 시 전문가와 상담하십시오.
특히 6세 이하는 과량섭취하지 않도록 주의하십시오.
당뇨병이 있는 경우 섭취 전 전문가와 상담하십시오.","비타민 A 혼합제제, 황산망간(고시형), 비오틴 혼합, 비타민B12, 혼합제제, 산화아연(고시형), 건조효모, 건조효모, 판토텐산칼슘(고시형), 아셀렌산나트륨(고시형), 니코틴산아미드(고시형), 건조효모, 비타민 B2(고시형), 비타민 B1질산염(고시형), 비타민 B6 염산염, 비타민E혼합제제, 비타민 C(고시형), 피로인산제이철(고시형), 엽산(고시형), 비타민K1혼합제제, 글루콘산동(고시형), 비타민D3혼합제제, 결정셀룰로스, 가교카복시메틸셀룰로스나트륨, 이산화규소, 스테아린산마그네슘(고시형), 히드록시프로필메틸셀룰로스, 베리혼합분말, 유산균혼합분말, 글리세린지방산에스테르, 채소혼합분말"
밀크씨슬 10종복합기능성,"밀크씨슬(카르두스 마리아누스) 추출물
(1) 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 알레르기 반응이 나타나는 경우에는 섭취 중단
(3) 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것

판토텐산
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것

비오틴
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것

비타민 B1
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것

비타민 B2
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","밀크씨슬(카르두스 마리아누스) 추출물(고시형), 나이아신(고시형), 산화아연(고시형), 판토텐산칼슘(고시형), 아셀렌산나트륨(고시형), 비타민 B6(고시형), 비타민 B1(고시형), 비타민B2(고시형), 엽산(고시형), 비오틴(고시형), 서양민들레추출물분말, 식물혼합발효추출물분말, 글리세린지방산에스테르, 해조혼합분말, 포도당, 건조효모, 이소말트, 덱스트린, 카복시메틸셀룰로스칼슘, 히드록시프로필메틸셀룰로스, 이산화규소, 스테아린산마그네슘, 울금추출물분말"
리얼닥터 멀티비타민 123 미네랄,"① 알레르기 체질이신 경우 성분을 확인한 후 섭취여부를 결정하여야 함
[철] 
② 특히 6세 이하는 과량섭취하지 않도록 주의
[크롬]
③ 당뇨병이 있는 경우 섭취 전 전문가와 상담할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
[판토텐산]
⑤ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
[베타카로틴]
⑥ 흡연자는 섭취 시 전문가와 상담할 것
⑦ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
[비타민D]
⑧ 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
⑨ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
[비오틴/비타민B12/비타민B1/비타민B2]
⑩ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
[비타민K]
⑪ 항응고제 등 복용 시 전문가와 상담할 것
⑫ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","산화아연, 건조효모(몰디브덴함유), 건조효모(크롬함유), 산화마그네슘, 비타민 C, 비타민E혼합제제, 푸마르산제일철, 니코틴산아미드, 비타민D3혼합제제, 베타카로틴혼합제제, 판토텐산칼슘, 셀레늄(고시형), 글루콘산동, 비타민 A 혼합제제, 황산망간, 건조효모, 비타민B12, 혼합제제, 비오틴 혼합분말, 비타민 B6 염산염, 비타민 B1염산염, 비타민 B2, 비타민 K 혼합제제, 엽산, 결정셀룰로스, 히드록시프로필메틸셀룰로스, 카복시메틸셀룰로스칼슘, 이산화규소, 이산화티타늄, 스테아린산마그네슘, 글리세린지방산에스테르"
바이탈케어 비타C뷰티 1000,,"비타민C(고시형), 자일리톨, 자몽향, 생선콜라겐, 수크랄로스"
바이탈케어비타민C1000,,"비타민C(고시형), 히드록시프로필메틸셀룰로스, 스테아린산마그네슘, 카복시메틸셀룰로스칼슘, 이산화규소"
해피면역17유산균,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","셀레늄(고시형), 프로바이오틱스(고시형), 산화아연(고시형), 젤라틴, 정제수, 이산화티타늄, 자당지방산에스테르, 빙초산, 프락토올리고당(고시형), 산화마그네슘(고시형), 이소말트, 치커리식이섬유, L-테아닌(고시형), 회화나무열매추출물(고시형), 결정셀룰로스, L-카르니틴, 유산균배양건조물, 이산화규소, 스테아린산마그네슘, 누에고치단백가수분해물분말, 겨우살이추출물분말, 마카농축액분말, 비타민C(고시형), Lacticaseibacillus rhamnosus(고시형), 생선콜라겐펩타이드, 비타민E혼합제제, 비타민D3혼합제제, 비수리추출분말, 비타민A혼합분말, 비타민 B6 염산염, 비타민B1염산염(고시형), 비타민B2(고시형), 엽산(고시형)"
뉴스타트17유산균,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","셀레늄(고시형), 프로바이오틱스분말(고시형), 젤라틴, 정제수, 이산화티타늄, 자당지방산에스테르, 빙초산, 비타민C(고시형), 생선콜라겐펩타이드, 비타민E혼합제제, 비타민D3혼합제제, 비수리추출분말, 비타민A혼합분말, 비타민 B6 염산염, 비타민B1염산염(고시형), 비타민B2(고시형), 엽산(고시형), 이소말트, 산화마그네슘(고시형), 프락토올리고당(고시형), 마카농축액분말, 겨우살이추출물분말, 누에고치단백가수분해물분말, Lacticaseibacillus rhamnosus(고시형), 치커리식이섬유, L-테아닌(고시형), 회화나무열매추출물(고시형), 결정셀룰로스, L-카르니틴, 유산균배양건조물, 이산화규소, 스테아린산마그네슘"
히얼스 코엔자임Q10,특정 성분에 알레르기가 있으신 분은 원료명 확인 후 섭취하십시오.,"코엔자임 Q10(고시형), 변성전분, 글리세린, 카라기난, 안나토색소, 콩기름(대두유), 밀납, 레시틴"
뉴트리키즈생유산균19,"프로바이오틱스
(1) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(2) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(3) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것

비타민 D
(1) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민 D(고시형), 산화아연(고시형), Bifidobacterium longum(고시형), Bifidobacterium breve(고시형), Bifidobacterium animalis ssp. lactis(고시형), Lactiplantibacillus plantarum(고시형), 유산균혼합분말, 포도향분말, 포도농축액분말, 프락토올리고당, 폴리덱스트로스, 기타엿, 유산균배양건조물, 비타민 A 혼합제제, 대나무수액"
블리스베리 퍼스킨 K21 Blissberry Purskin K21,"1) 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다. 
2) 유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.","비타민C(고시형), 분말비타민A혼합제제, 젤라틴, 정제수, 이산화티타늄, 빙초산, 자당지방산에스테르, L-시스틴, 생선콜라겐펩타이드, 덱스트린, 해조칼슘, 석류농축액, 스테아린산마그네슘, 이산화규소"
구스 장 건강에 도움을 줄 수 있는 100억 유산균,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","프로바이오틱스(고시형), 프로바이오틱스(고시형), Bifidobacterium animalis ssp. lactis(고시형), Lactiplantibacillus plantarum(고시형), Enterococcus faecium(고시형), Limosilactobacillus reuteri(고시형), 에리스리톨, 자일로올리고당(xylooligosaccharide) 분말(기능성원료인정제2009-80호), 블루베리농축분말, 단백질(고시형), Bacillus coagulans, 유산균배양건조물, 김치유산균혼합분말, 블루베리향, 이산화규소, L-프롤린, 덱스트린, 자일리톨혼합제제, 이눌린/치커리추출물(고시형), 식물성크림혼합분말"
9시 35분 맛있는 100kcal 다이어트 쉐이크 시즌1,"1) 특이체질, 알레르기 체질의 경우에는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인한 후 섭취하십시오.
2) 알레르기 반응이 나타날 경우에는 섭취를 중단하시기 바랍니다.
3) 섭취 후 진정작용이 나타날 수 있습니다.
4) 어린이 및 임산부와 수유부 여성은 섭취에 주의하시기 바랍니다.","레몬 밤 추출물 혼합분말(기능성원료인정제2010-24호), 분리대두단백, 분말결정포도당, 볶은현미분말, 곡류혼합분말, 에리스리톨, 분리대두단백, 가르시니아캄보지아 추출물(고시형), 이산화규소, 효소처리스테비아"
셀티바 비타민D3 1000IU,"1) 특이체질, 알레르기 체질의 경우에는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인한 후 섭취하십시오.
2) 유통기한이 경과된 제품은 섭취하지 마십시오.
3) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민 D3(고시형), 스테아린산, 스테아린산마그네슘, 이산화규소, 요거트분말, 분말결정포도당, 요구르트향분말, 식물성크림, 전지분유"
드시모네 베이비 스텝1,(1) 특정성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취하십시오.,"프로바이오틱스(드시모네)(기능성원료인정제2009-28호), 프락토올리고당(고시형), 올리고당, 밀식이섬유(고시형)"
관절튼튼 MSM100%,"① 유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
② 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.
③ 신장질환이 있는 사람은 섭취 전 전문가와 상담하시기 바랍니다.
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담하시기 바랍니다.",엠에스엠(고시형)
락토바이옴 솔루션1,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","Lactobacillus acidophilus(고시형), Streptococcus thermophilus(고시형), 유산균혼합분말, Lactiplantibacillus plantarum(고시형), 프탈산히드록시프로필메틸셀룰로오스, 글리세린초산지방산에스테르, 정제수, 카라기난, 피로인산칼륨, 염화마그네슘, 아미드펙틴, 자당지방산에스테르, 히드록시프로필메틸셀룰로스, 난소화성말토덱스트린(고시형), 락티톨, 락추로스 파우더(Lactulose Powder)(기능성원료인정제2009-40호), 쌀발효분말, 목화씨기름, 프락토올리고당(고시형), 갈락토올리고당, Khorasan wheat씨앗, 유산균배양액, 오렌지추출물분말"
퓨어웨이 면역 비타민C 1000,"* 과량 섭취 시 부작용이 있을 수 있으며, 특정 원료에 알레르기가 있거나 질병 치료나 약물투여 중인 분들은 섭취 전 전문가와 상의하십시오
* 제품을 개봉할 때 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의 하십시오
* 유통기한이 경과된 제품은 섭취하지 마십시오","비타민C(고시형), 산화아연(고시형), 덱스트린, 히드록시프로필셀룰로스, 해조혼합분말, 이소말트, 카복시메틸셀룰로스칼슘, 스테아린산마그네슘, 이산화규소, 글리세린지방산에스테르"
