output,input,instruction
"Alprazolam is used to treat anxiety disorders and panic disorder (sudden, unexpected attacks of extreme fear and worry about these attacks). Alprazolam is in a class of medications called benzodiazepines. It works by decreasing abnormal excitement in the brain.",Alprazolam,Why is Alprazolam medication prescribed?
"Alprazolam comes as a tablet, an extended-release tablet, an orally disintegrating tablet (tablet that dissolves quickly in the mouth), and a concentrated solution (liquid) to take by mouth. The tablet, orally disintegrating tablet, and concentrated solution usually are taken two to four times a day. The extended-release tablet is taken once daily, usually in the morning. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take alprazolam exactly as directed.To take the concentrated liquid, use only the dropper that came with your prescription. Draw into the dropper the amount prescribed for one dose. Squeeze the dropper contents into a liquid or semisolid food such as water, juice, soda, applesauce, or pudding. Stir the liquid or food gently for a few seconds. The concentrated liquid will blend completely with the food. Drink or eat the entire mixture immediately. Do not store for future use.Remove the orally disintegrating tablet from the bottle just before it is time for your dose. With dry hands, open the bottle, remove the tablet, and immediately place it on your tongue. The tablet will dissolve and can be swallowed with saliva. The orally disintegrating tablet can be taken with or without water.Swallow the extended-release tablets whole; do not chew, crush, or break them.Your doctor will probably start you on a low dose of alprazolam and gradually increase your dose, not more than once every 3 or 4 days.",Alprazolam,How should Alprazolam medicine be used?
"Before taking alprazolam,tell your doctor and pharmacist if you are allergic to alprazolam, chlordiazepoxide (Librium, in Librax), clonazepam (Klonopin), clorazepate (Gen-Xene, Tranxene), diazepam (Diastat, Valium), estazolam, flurazepam, lorazepam (Ativan), oxazepam, quazepam (Doral), temazepam (Restoril), triazolam (Halcion), any other medications, or any of the ingredients in alprazolam products. Ask your pharmacist for a list of the ingredients.tell your doctor if you are taking itraconazole (Onmel, Sporanox) or ketoconazole (Nizoral). Your doctor will probably tell you not to take alprazolam.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, and nutritional supplements, you are taking. Be sure to mention any of the following: amiodarone (Cordarone, Nexterone, Pacerone); antidepressants ('mood elevators') such as desipramine (Norpramin), imipramine (Tofranil), and nefazodone; antifungals such as fluconazole (Diflucan), posaconazole (Noxafil), or voriconazole (Vfend); antihistamines; cimetidine (Tagamet); clarithromycin (Biaxin, in Prevpac); cyclosporine (Gengraf, Neoral, Sandimmune); diltiazem (Cardizem, Cartia XT, Tiazac); ergotamine (Ergomar, in Cafergot, in Migergot); erythromycin (E.E.S., ERYC, others); isoniazid (Laniazid, in Rifamate, in Rifater); medications for mental illness and seizures; nicardipine (Cardene); nifedipine (Adalat, Afeditab CR, Procardia); oral contraceptives (birth control pills); selective serotonin reuptake inhibitors (SSRIs) such as fluoxetine (Prozac, Sarafem), fluvoxamine (Luvox), paroxetine (Brisdelle, Paxil, Pexeva), and sertraline (Zoloft); sedatives; sleeping pills; and tranquilizers. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor and pharmacist what herbal products you are taking, especially St. John's wort.tell your doctor if you have glaucoma (increased pressure in the eye that may cause loss of sight). Your doctor may tell you not to take alprazolam.tell your doctor if you have or have ever had seizures or lung, kidney, or liver disease.tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. Alprazolam may harm the fetus. If you become pregnant while taking alprazolam, call your doctor.talk to your doctor about the risks and benefits of taking this medication if you are 65 years of age or older. Older adults should receive low doses of alprazolam because higher doses may not work better and may cause serious side effects.if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking alprazolam.you should know that alprazolam may make you drowsy. Do not drive a car or operate machinery until you know how this medication affects you.",Alprazolam,What special precautions should I follow for Alprazolam ?
"Rivaroxaban is used to treat deep vein thrombosis (DVT; a blood clot, usually in the leg) and pulmonary embolism (PE; a blood clot in the lung) in adults. Rivaroxaban is also used to prevent DVT and PE from happening again after initial treatment is completed in adults. It is also used to help prevent strokes or serious blood clots in adults who have atrial fibrillation (a condition in which the heart beats irregularly, increasing the chance of clots forming in the body, and possibly causing strokes) that is not caused by heart valve disease. Rivaroxaban is also used to prevent DVT and PE in adults who are having hip replacement or knee replacement surgery or in people who are hospitalized for serious illnesses and are at risk of developing a clot due to decreased ability to move around or other risk factors. It is also used along with aspirin to lower the risk of a heart attack, stroke, or death in adults with coronary artery disease (narrowing of the blood vessels that supply blood to the heart) or peripheral arterial disease (poor circulation in the blood vessels that supply blood to the arms and legs). Rivaroxaban is also used to treat and prevent DVT and PE from happening again in children and certain infants who have received at least 5 days of initial anticoagulation (blood thinner) treatment. It is also used to prevent DVT and PE after heart surgery in children 2 years of age or older who have congenital heart disease (abnormality in the heart that develops before birth). Rivaroxaban is in a class of medications called factor Xa inhibitors. It works by blocking the action of a certain natural substance that helps blood clots to form.",Rivaroxaban,Why is Rivaroxaban medication prescribed?
"Rivaroxaban comes as a tablet and a suspension (liquid) to take by mouth. When rivaroxaban is used to treat DVT or PE in adults, it is usually taken with food twice daily for 21 days, then once daily with food. When rivaroxaban is used to prevent DVT or PE in adults, it is usually taken once daily with or without food after at least 6 months of anticoagulation (blood thinner) treatment. When rivaroxaban is used to prevent a stroke in those who have atrial fibrillation, it is usually taken once daily with the evening meal. When rivaroxaban is taken to prevent DVT and PE after hip or knee replacement surgery, it is usually taken with or without food once daily. The first dose should be taken at least 6 to 10 hours after surgery. Rivaroxaban is usually taken for 35 days after a hip replacement surgery and for 12 days after knee replacement surgery. When rivaroxaban is taken to prevent DVT and PE in adults who are hospitalized for serious illnesses and are at risk of developing a clot due to decreased ability to move around, it is usually taken with or without food once daily starting when you are in the hospital and then continuing for a total of 31 to 39 days. When rivaroxaban is taken along with aspirin in adults with coronary artery disease or peripheral arterial disease, it is usually taken twice daily with or without food. When rivaroxaban is used in children and infants to treat or prevent DVT or PE, it is usually given 1 to 3 times a day with food after at least 5 days of anticoagulation (blood thinner) treatment. When rivaroxaban is taken in children 2 years of age or older who have congenital heart disease, it is usually given 1 to 3 times a day with or without food after heart surgery.Take rivaroxaban at around the same time(s) every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take rivaroxaban exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor.For adults, if you are unable to swallow the tablets, you can crush them and mix with applesauce. Swallow the mixture right after you prepare it. Rivaroxaban can also be given in certain types of feeding tubes. Ask your doctor if you should take this medication in your feeding tube. Follow your doctor's directions carefully.For children taking rivaroxaban tablets, swallow the tablets whole; do not split them.If you or your child vomits or spits up within 30 minutes of taking a dose of rivaroxaban oral suspension, take another full dose as soon as possible after the vomiting episode and then take your next dose at the regularly scheduled time.To measure rivaroxaban oral suspension, follow these steps:Use the oral syringe that came with the medication for measuring the liquid. Do not use a household spoon to measure your dose. Household teaspoons are not accurate measuring devices, and you may receive too much medication or not enough medication if you measure your dose with a household teaspoon.Shake the bottle gently for 10 seconds before use. If there are remaining granules at the bottom of the bottle, shake gently again for another 10 seconds. Do not shake the bottle to avoid foaming.Remove the bottle cap by pushing down on the cap, then turn it counterclockwise (to the left). Do not remove the adaptor from the top of the bottle.Push all the air from the oral syringe into the bottle by pushing down on the plunger. Then insert the open tip of the oral syringe into the adaptor.While holding the oral syringe in place, carefully turn the bottle upside down. Draw some of the medication out of the bottle into the oral syringe by pulling back on the plunger. Be careful not to pull the plunger all the way out.You will see a small amount of air near the end of the plunger in the oral syringe. Push on the plunger so the medication goes back into the bottle and the air disappears. Pull back on the plunger to draw your correct medication dose into the oral syringe.While still holding the oral syringe in the bottle, carefully turn the bottle upwards so the syringe is on top. Remove the oral syringe from the bottle neck adaptor without pushing on the plunger. Take the medication right after you draw it into the oral syringe.Place the open tip of the oral syringe into one side of your child's mouth and push on the plunger slowly as the liquid goes into your child's mouth; have your child swallow the medication slowly as it goes into their mouth.If your dose is more than 5 mL, you will need to use the same syringe more than one time and you will need to repeat steps 3 through 7.Leave the adaptor in the bottle. Place the cap back on the bottle and turn it clockwise (to the right) to tighten it.Rinse the oral syringe with clean tap water and allow it to air dry after each use.Continue to take rivaroxaban even if you feel well. Do not stop taking rivaroxaban without talking to your doctor. If you stop taking rivaroxaban, your risk of a blood clot may increase.",Rivaroxaban,How should Rivaroxaban medicine be used?
"Before taking rivaroxaban,tell your doctor and pharmacist if you are allergic to rivaroxaban, any other medications, or any of the ingredients in rivaroxaban tablets. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, and nutritional supplements you are taking or plan to take. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor what herbal products you are taking, especially St. John's wort.tell your doctor if you have an artificial heart valve or recently noticed any unusual bruising or bleeding. Your doctor will probably tell you not to take rivaroxaban.tell your doctor if you have or have ever had any type of bleeding problem, antiphospholipid syndrome (APS; a condition that causes blood clots), bleeding or an ulcer in your stomach or intestine, or kidney or liver disease.tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. If you become pregnant while taking rivaroxaban, call your doctor.talk to your doctor about the risks and benefits of taking rivaroxaban if you are 75 years of age or older.if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking rivaroxaban. Your doctor may tell you to stop taking rivaroxaban before the surgery or procedure. Your doctor will tell you when you should start taking rivaroxaban again after your surgery.",Rivaroxaban,What special precautions should I follow for Rivaroxaban ?
"Cantharidin is used to treat molluscum contagiosum (molluscum bumps; a viral skin infection that causes raised, pearl-like bumps on the skin) in adults and children 2 years of age and older. Cantharidin is in a class of medications called vesicants. It is not known exactly how cantharidin works to treat molluscum contagiosum.",Cantharidin Topical,Why is Cantharidin Topical medication prescribed?
"Cantharidin comes as a solution (liquid) to apply to the skin by a healthcare professional at a doctor's office or clinic. It is usually applied directly to areas on your skin with molluscum bumps once every three weeks as neededAfter the medication is applied to the skin, it should be allowed to dry completely (up to 5 minutes) before you leave your doctor's office. 24 hours after the medicine is applied to your skin, you should wash the treated area of skin with soap and water. Do not vigorously rub your skin or use a washcloth or other abrasive material to wash your skin.Topical cantharidin should only be applied to skin and should not be applied to the mouth, nose, eyes, or genital areas.Do not touch the treated areas of your skin or allow topical cantharidin to come in contact with your eyes or mouth for 24 hours after the medication is applied or until after it has been washed off the skin.Topical cantharidin may cause severe eye injury if it comes in contact with your or your child's eyes, including scarring and ulcers in your eyes and permanent loss of vision. If topical cantharidin comes in contact with your or your child's eyes, flush the eye for at least 15 minutes and get emergency medical treatment.Do not apply any topical products, including creams, lotions, sunscreen, or steroids to the areas of skin to be treated on the day of your treatment (before treatment) and for 24 hours after your treatment or until after the medication is washed off. Do not wrap or bandage treated areas.Topical cantharidin may cause blistering or severe pain at the application site. If you have a severe reaction at the application site sooner than 24 hours after topical cantharidin was applied, wash the medication off of your skin with soap and water and call your doctor. Your doctor may tell you to take an over-the-counter pain medication such acetaminophen (Tylenol) to help with these symptoms.Topical cantharidin is flammable, even after it has dried on the skin. Treated skin should not be exposed to fire or open flames during treatment and after treatment until the medication is washed off.Talk to you doctor if you have any questions about your treatment with topical cantharidin.Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",Cantharidin Topical,How should Cantharidin Topical medicine be used?
"Before using topical cantharidin,tell your doctor and pharmacist if you are allergic to cantharidin, any other medications, or any of the ingredients in cantharidin topical solution. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take.tell your doctor if you have or have ever had any other skin problems.tell your doctor if you are pregnant or plan to become pregnant. If you become pregnant while receiving topical cantharidin, call your doctor.tell your doctor if you are breast-feeding or plan to breast-feeding. If you are breast-feeding, your doctor will avoid applying topical cantharidin to areas of your skin that your baby could come in contact with.tell your doctor if you smoke. Topical cantharidin is flammable. Do not smoke after your treatment until the medication is washed off of your skin..",Cantharidin Topical,What special precautions should I follow for Cantharidin Topical ?
"Cantharidin is used to treat molluscum contagiosum (molluscum bumps; a viral skin infection that causes raised, pearl-like bumps on the skin) in adults and children 2 years of age and older. Cantharidin is in a class of medications called vesicants. It is not known exactly how cantharidin works to treat molluscum contagiosum.",Yellow Fever Vaccine,Why is Yellow Fever Vaccine medication prescribed?
"Cantharidin comes as a solution (liquid) to apply to the skin by a healthcare professional at a doctor's office or clinic. It is usually applied directly to areas on your skin with molluscum bumps once every three weeks as neededAfter the medication is applied to the skin, it should be allowed to dry completely (up to 5 minutes) before you leave your doctor's office. 24 hours after the medicine is applied to your skin, you should wash the treated area of skin with soap and water. Do not vigorously rub your skin or use a washcloth or other abrasive material to wash your skin.Topical cantharidin should only be applied to skin and should not be applied to the mouth, nose, eyes, or genital areas.Do not touch the treated areas of your skin or allow topical cantharidin to come in contact with your eyes or mouth for 24 hours after the medication is applied or until after it has been washed off the skin.Topical cantharidin may cause severe eye injury if it comes in contact with your or your child's eyes, including scarring and ulcers in your eyes and permanent loss of vision. If topical cantharidin comes in contact with your or your child's eyes, flush the eye for at least 15 minutes and get emergency medical treatment.Do not apply any topical products, including creams, lotions, sunscreen, or steroids to the areas of skin to be treated on the day of your treatment (before treatment) and for 24 hours after your treatment or until after the medication is washed off. Do not wrap or bandage treated areas.Topical cantharidin may cause blistering or severe pain at the application site. If you have a severe reaction at the application site sooner than 24 hours after topical cantharidin was applied, wash the medication off of your skin with soap and water and call your doctor. Your doctor may tell you to take an over-the-counter pain medication such acetaminophen (Tylenol) to help with these symptoms.Topical cantharidin is flammable, even after it has dried on the skin. Treated skin should not be exposed to fire or open flames during treatment and after treatment until the medication is washed off.Talk to you doctor if you have any questions about your treatment with topical cantharidin.Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",Yellow Fever Vaccine,How should Yellow Fever Vaccine medicine be used?
"Before using topical cantharidin,tell your doctor and pharmacist if you are allergic to cantharidin, any other medications, or any of the ingredients in cantharidin topical solution. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take.tell your doctor if you have or have ever had any other skin problems.tell your doctor if you are pregnant or plan to become pregnant. If you become pregnant while receiving topical cantharidin, call your doctor.tell your doctor if you are breast-feeding or plan to breast-feeding. If you are breast-feeding, your doctor will avoid applying topical cantharidin to areas of your skin that your baby could come in contact with.tell your doctor if you smoke. Topical cantharidin is flammable. Do not smoke after your treatment until the medication is washed off of your skin..",Yellow Fever Vaccine,What special precautions should I follow for Yellow Fever Vaccine ?
"Ipilimumab injection is used alone or in combination with nivolumab (Opdivo) to treat certain types of melanoma (a type of skin cancer) that that has spread to other parts of the body or cannot be treated with surgery. It is also used alone to prevent melanoma from returning after surgery. Ipilimumab injection is also used in combination with nivolumab to treat certain types of renal cell cancer (a type of cancer that begins in the cells of the kidneys), colorectal cancer (cancer that begins in the large intestine), hepatocellular cancer (a type of liver cancer), esophageal cancer (cancer of the tube that connects your throat to your stomach), and malignant pleural mesothelioma (a type of cancer that affects the inside lining of the lungs and chest cavity). It is also used in combination with nivolumab and other chemotherapy medications to treat a certain type of lung cancer (non-small cell lung cancer, NSCLC). Ipilimumab injection is in a class of medications called monoclonal antibodies. It works by helping the body to slow or stop the growth of cancer cells.Your doctor will review your specific type of cancer and past treatment history and other available treatments to determine if ipilimumab is right for you.",Ipilimumab Injection,Why is Ipilimumab Injection medication prescribed?
"Ipilimumab injection comes as a solution (liquid) to be injected intravenously (into a vein) by a doctor or nurse in a hospital or medical facility. When ipilimumab is given alone to help prevent the return of melanoma, it is usually given over 90 minutes once every 3 weeks for 4 doses and then once every 12 weeks as long as your doctor recommends that you receive treatment. When ipilimumab is given alone or along with nivolumab to treat melanoma, renal cell carcinoma, hepatocellular carcinoma, or colorectal cancer, it is usually given over 30 minutes once every 3 weeks for up to 4 doses. When ipilimumab is given with nivolumab to treat malignant pleural mesothelioma, esophageal cancer, or with nivolumab and other chemotherapy medications to treat NSCLC, it is usually given over 30 minutes once every 6 weeks for as long as your doctor recommends that you receive treatment.Ipilimumab injection may cause serious or life-threatening reactions during an infusion. A doctor or nurse will watch you closely while you are receiving the infusion and shortly after the infusion to be sure you are not having a serious reaction to the medication. Tell your doctor or nurse immediately if you experience any of the following symptoms that may occur during the infusion: chills or shaking, itching, rash, flushing, difficulty breathing, dizziness, fever, or feeling faint.Your doctor may slow down your infusion, delay, or stop your treatment with ipilimumab injection, or treat you with additional medications depending on your response to the medication and any side effects that you experience. Talk to your doctor about how you are feeling during your treatment.Your doctor or pharmacist will give you the manufacturer's patient information sheet (Medication Guide) when you begin treatment with ipilimumab and each time you refill your prescription. Read the information carefully and ask your doctor or pharmacist if you have any questions. You can also visit the Food and Drug Administration (FDA) website (https://www.fda.gov/Drugs/DrugSafety/ucm085729.htm) or the manufacturer's website to obtain the Medication Guide.",Ipilimumab Injection,How should Ipilimumab Injection medicine be used?
"Before receiving ipilimumab injection,tell your doctor and pharmacist if you are allergic to ipilimumab injection, any other medications, or any of the ingredients in ipilimumab injection. Ask your pharmacist or check the Medication Guide for a list of the ingredients.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you have received or plan to receive a stem cell transplant that uses donor stem cells (allogeneic) or have ever had an organ transplant. Also, tell your doctor if you have or have ever had an autoimmune disease (condition in which the immune system attacks a healthy part of the body) such as Crohn's disease (condition in which the immune system attacks the lining of the digestive tract causing pain, diarrhea, weight loss, and fever), ulcerative colitis (a condition which causes swelling and sores in the lining of the colon [large intestine] and rectum), lupus (a condition in which the immune system attacks many tissues and organs including the skin, joints, blood, and kidneys); any condition that affects your nervous system such as myasthenia gravis (a disorder of the nervous system that causes muscle weakness) or Guillain-Barré syndrome (weakness, tingling, and possible paralysis due to sudden nerve damage); thyroid problems; or liver disease.tell your doctor if you are pregnant or plan to become pregnant. You will need to take a pregnancy test before you receive ipilimumab. You should use effective birth control to prevent pregnancy during your treatment with ipilimumab injection and for 3 months after your final dose. Talk to your doctor about birth control methods that will work for you. If you become pregnant while receiving ipilimumab injection, call your doctor immediately. Ipilimumab injection may harm the fetus.tell your doctor if you are breastfeeding or plan to breastfeed. You should not breastfeed while receiving ipilimumab injection and for 3 months after your final dose.",Ipilimumab Injection,What special precautions should I follow for Ipilimumab Injection ?
"Pseudoephedrine is used to relieve nasal congestion caused by colds, allergies, and hay fever. It is also used to temporarily relieve sinus congestion and pressure. Pseudoephedrine will relieve symptoms but will not treat the cause of the symptoms or speed recovery. Pseudoephedrine is in a class of medications called nasal decongestants. It works by causing narrowing of the blood vessels in the nasal passages.",Pseudoephedrine,Why is Pseudoephedrine medication prescribed?
"Pseudoephedrine comes as a regular tablet, a 12-hour extended-release (long-acting) tablet, a 24-hour extended-release tablet, and a solution (liquid) to be taken by mouth. The regular tablets and liquid are usually taken every 4 to 6 hours. The 12-hour extended-release tablets usually are taken every 12 hours, and you should not take more than two doses in a 24-hour period. The 24-hour extended-release tablets usually are taken once a day, and you should not take more than one dose in a 24-hour period. To help prevent trouble sleeping, take the last dose of the day several hours before bedtime. Follow the directions on the package label or on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take pseudoephedrine exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor or directed on the label.Pseudoephedrine comes alone and in combination with other medications. Ask your doctor or pharmacist for advice on which product is best for your symptoms. Check nonprescription cough and cold product labels carefully before using 2 or more products at the same time. These products may contain the same active ingredient(s) and taking them together could cause you to receive an overdose. This is especially important if you will be giving cough and cold medications to a child.Nonprescription cough and cold combination products, including products that contain pseudoephedrine, can cause serious side effects or death in young children. Do not give nonprescription pseudoephedrine products to children younger than 4 years of age. If you give these products to children 4-11 years of age, use caution and follow the package directions carefully. Do not give pseudoephedrine extended-release tablets to children younger than 12 years of age.If you are giving pseudoephedrine or a combination product that contains pseudoephedrine to a child, read the package label carefully to be sure that it is the right product for a child of that age. Do not give pseudoephedrine products that are made for adults to children.Before you give a pseudoephedrine product to a child, check the package label to find out how much medication the child should receive. Give the dose that matches the child's age on the chart. Ask the child's doctor if you don't know how much medication to give the child.If you are taking the liquid, do not use a household spoon to measure your dose. Use the measuring spoon or cup that came with the medication or use a spoon made especially for measuring medication.If your symptoms do not get better within 7 days or if you have a fever, stop taking pseudoephedrine and call your doctor.Swallow the extended-release tablets whole; do not break, crush, or chew them.",Pseudoephedrine,How should Pseudoephedrine medicine be used?
"Before taking pseudoephedrine,tell your doctor and pharmacist if you are allergic to pseudoephedrine, any other medications, or any of the inactive ingredients in the pseudoephedrine product you plan to take. Check the package label for a list of the ingredients.do not take pseudoephedrine if you are taking a monoamine oxidase (MAO) inhibitor such as isocarboxazid (Marplan), phenelzine (Nardil), selegiline (Eldepryl, Emsam, Zelapar), and tranylcypromine (Parnate), or if you have stopped taking one of these medications within the past 2 weeks.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention medications for diet or appetite control, asthma, colds, or high blood pressure.tell your doctor if you have or have ever had high blood pressure, glaucoma (a condition in which increased pressure in the eye can lead to gradual loss of vision), diabetes, difficulty urinating (due to an enlarged prostate gland), or thyroid or heart disease. If you plan to take the 24-hour extended-release tablets, tell your doctor if you have had a narrowing or blockage of your digestive system.tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while taking pseudoephedrine, call your doctor.if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking pseudoephedrine.",Pseudoephedrine,What special precautions should I follow for Pseudoephedrine ?
"Ophthalmic ketotifen is used to relieve the itching of allergic pinkeye. Ketotifen is in a class of medications called antihistamines. It works by blocking histamine, a substance in the body that causes allergic symptoms.",Ketotifen Ophthalmic,Why is Ketotifen Ophthalmic medication prescribed?
"Ophthalmic ketotifen comes as a solution (liquid) to instill in the eye. It is usually instilled in the affected eye(s) twice daily, 8 to 12 hours apart. Instill ketotifen eye drops at around the same times every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use ketotifen exactly as directed. Do not use more or less of it or use it more often than prescribed by your doctor.To instill the eye drops, follow these steps:Wash your hands thoroughly with soap and water.Check the dropper tip to make sure that it is not chipped or cracked.Avoid touching the dropper tip against your eye or anything else; eye drops and droppers must be kept clean.While tilting your head back, pull down the lower lid of your eye with your index finger to form a pocket.Hold the dropper (tip down) with the other hand, as close to the eye as possible without touching it.Brace the remaining fingers of that hand against your face.While looking up, gently squeeze the dropper so that a single drop falls into the pocket made by the lower eyelid. Remove your index finger from the lower eyelid.Close your eye for 2 to 3 minutes and tip your head down as though looking at the floor. Try not to blink or squeeze your eyelids.Place a finger on the tear duct and apply gentle pressure.Wipe any excess liquid from your face with a tissue.If you are to use more than one drop in the same eye, wait at least 5 minutes before instilling the next drop.Replace and tighten the cap on the dropper bottle. Do not wipe or rinse the dropper tip.Wash your hands to remove any medication.",Ketotifen Ophthalmic,How should Ketotifen Ophthalmic medicine be used?
"Before using ketotifen eye drops,tell your doctor and pharmacist if you are allergic to ketotifen or any other medications.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking.tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while using ketotifen, call your doctor.you should know that you should not wear contact lenses if your eye(s) is/are red. If your eyes are not red and you wear contact lenses, you should know that ketotifen solution contains benzalkonium chloride, which can be absorbed by soft contact lenses. Remove your contact lenses before instilling ketotifen and put them back in 10 minutes later.",Ketotifen Ophthalmic,What special precautions should I follow for Ketotifen Ophthalmic ?
Zafirlukast is used to prevent asthma symptoms. Zafirlukast is in a class of medications called leukotriene receptor antagonists (LTRAs). It works by blocking the action of certain natural substances that cause swelling and tightening of the airways.,Zafirlukast,Why is Zafirlukast medication prescribed?
"Zafirlukast comes as a tablet to take by mouth. It is usually taken two times a day, 1 hour before or 2 hours after meals. Try to take zafirlukast at around the same times every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take zafirlukast exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor.Do not use zafirlukast to treat a sudden attack of asthma symptoms. Your doctor will prescribe a short-acting inhaler to use during attacks. Talk to your doctor about how to treat symptoms of a sudden asthma attack.Continue to take or use all other medications that your doctor has prescribed to treat your asthma. Do not stop taking any of your medications or change the doses of any of your medications unless your doctor tells you that you should.Zafirlukast may help control asthma symptoms, but it does not cure asthma. Continue to take zafirlukast even if you feel well. Do not stop taking zafirlukast without talking to your doctor.",Zafirlukast,How should Zafirlukast medicine be used?
"Before taking zafirlukast,tell your doctor and pharmacist if you are allergic to zafirlukast or any other medications.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: anticoagulants ('blood thinners') such as warfarin (Coumadin); aspirin or aspirin-containing products; calcium channel blockers such as amlodipine (Norvasc, in Caduet), diltiazem (Cardizem, Tiazac), felodipine (Plendil), isradipine (Dynacirc), nicardipine (Cardene), nifedipine (Adalat, Procardia, others), nimodipine (Nimotop), nisoldipine (Sular), or verapamil (Calan, Covera, Isoptin, Verelan); carbamazepine (Equetro, Tegretol); cisapride (Propulsid) (not available in the U.S.); cyclosporine (Neoral, Sandimmune); erythromycin (E.E.S, Erythrocin); phenytoin (Dilantin); theophylline (Theo-Dur, others); and tolbutamide. Other medications may also interact with zafirlukast, so be sure to tell your doctor about all the medications you are taking, even those that do not appear on this list. Your doctor may need to change the doses of your medications or monitor you more carefully for side effects.tell your doctor if you have or have ever had liver disease.tell your doctor if you are pregnant or plan to become pregnant. If you become pregnant while taking zafirlukast, call your doctor.do not breastfeed while you are taking zafirlukast.you should know that your mental health may change in unexpected ways while you are taking zafirlukast. You should call your doctor right away if you experience any of the following symptoms: agitation, aggressive behavior, anxiety, irritability, unusual dreams, hallucinations (seeing things or hearing voices that do not exist), depression, difficulty falling asleep or staying sleep, restlessness, suicidal behavior (thinking about harming or killing yourself or planning or trying to do so), or tremor (uncontrollable shaking of a part of the body). Your doctor will decide if you should continue taking zafirlukast.",Zafirlukast,What special precautions should I follow for Zafirlukast ?
Zaleplon is used on a short-term basis to treat insomnia (difficulty falling asleep). Zaleplon does not help you to stay asleep longer or decrease the number of times that you awaken during the night. Zaleplon is in a class of medications called hypnotics. It works by slowing activity in the brain to allow sleep.,Zaleplon,Why is Zaleplon medication prescribed?
